country,code,percent_emissions,percent_gdp,score,rounded_score
Saint Lucia,LCA,0.0009709523424225261,0.00190768120858033,0.5089699149183817,1.0
Saint Vincent and the Grenadines,VCT,0.00048547617121126303,0.0010048685905852557,0.48312403806801435,0.0
Samoa,WSM,0.00040456347600938586,0.0010134945343516196,0.39917677135595436,0.0
Sao Tome and Principe,STP,0.00043153437441001164,0.0005329916343337503,0.8096456803668933,1.0
Saudi Arabia,SAU,1.7227931062383688,1.3807463115613807,1.247726024551312,1.0
Senegal,SEN,0.026134800550206328,0.04260132464009074,0.6134738947908607,1.0
Serbia,SRB,0.16854114410551016,0.09899698222945623,1.7024876951790686,2.0
Seychelles,SYC,0.0026161771448606954,0.0021640506079416994,1.208926046026728,1.0
Sierra Leone,SLE,0.0035331876904819703,0.008985380008235375,0.39321516588543787,0.0
Singapore,SGP,0.14839388300024275,0.420997102079821,0.35248195834874724,0.0
Slovakia,SVK,0.10208485044636836,0.1367965939726368,0.746252866988693,1.0
Slovenia,SVN,0.04102273646735173,0.058041469818122485,0.7067832120016896,1.0
Solomon Islands,SLB,0.00040456347600938586,0.0011560098832285783,0.3499654128211215,0.0
South Africa,ZAF,1.261294063705262,0.596029150124696,2.1161617069255505,2.0
South Korea,KOR,1.8160045311109314,1.5523917553005524,1.1698107290961115,1.0
Spain,ESP,0.761550287240068,1.413128433025413,0.5389108798905419,1.0
Sri Lanka,LKA,0.06467621436470049,0.21456107774661456,0.30143498086395576,0.0
Sudan,SDN,0.05680071203171777,0.16999449713082593,0.3341326512940272,0.0
Suriname,SUR,0.0059605685465382845,0.006649538524469168,0.8963883019256763,1.0
Eswatini,SWZ,0.0033713623000782155,0.009198195874542587,0.36652429955410887,0.0
Sweden,SWE,0.13720096016398306,0.40167970601260167,0.34156806557630454,0.0
Switzerland,CHE,0.10718235024408665,0.4353515184946354,0.2461972582861392,0.0
Tajikistan,TJK,0.015373412088356663,0.022192085244691677,0.6927430171093979,1.0
Tanzania,TZA,0.03951236615691669,0.1274098187440274,0.31012026032545403,0.0
Thailand,THA,0.7532971923294766,0.9634224981159635,0.7818970325092045,1.0
The Gambia,GMB,0.001483399412034415,0.0027729181170511137,0.5349596884642055,1.0
Timor-Leste,TLS,0.0011327777328262805,0.007163457665503873,0.15813281598371834,0.0
Togo,TGO,0.007659735145777705,0.010064719697311071,0.7610480347330596,1.0
Tonga,TON,0.0003775925776087602,0.0005009527118472882,0.7537489441196329,1.0
Trinidad and Tobago,TTO,0.10181514146236212,0.03379590162532145,3.0126475864185114,3.0
Tunisia,TUN,0.08530895164117916,0.107012500679807,0.7971867875177759,1.0
Turkey,TUR,1.1585619116972785,1.7566290895247565,0.6595370181480481,1.0
Turkmenistan,TKM,0.19545810070933461,0.08066318087528067,2.423139015699702,2.0
Turks and Caicos Islands,TCA,0.00045850527281063736,0.0006884013317225144,0.6660435587237574,1.0
Uganda,UGA,0.013593332793915364,0.06221264010472913,0.21849792535780937,0.0
Ukraine,UKR,0.5548453218976724,0.28696091303908694,1.9335222906197576,2.0
United Arab Emirates,ARE,0.5469698195646897,0.5406928593071407,1.0116091051499967,1.0
United Kingdom,GBR,1.0226016128597244,2.304196157342304,0.4437997214782308,0.0
United States,USA,13.775089678237181,15.138641784435139,0.9099290328938294,1.0
Uruguay,URY,0.01869083259163363,0.06068427694016921,0.30800124075073987,0.0
